Player,Season,Born ,Age,Squad,Nation,Previous Market Value,Market Value,Position,App,Minutes,Goals,Passes,Assists,Shots,SOT,Tackles,ABW 
Oumar Niasse,2017-2018,1990,27,Everton,Senegal,8100000,7200000,FW,5,142,0,43,0,2,1,4,0.181818182
Oumar Niasse,2018-2019,1990,28,Cardiff City,Senegal,7200000,5400000,FW,5,142,0,43,0,2,1,4,0.181818182
Papiss Cissé,2015-2016,1985,30,Newcastle United,Senegal,7500000,4500000,FW,21,1070,3,405,0,23,9,10,0.347222222
Sadio Mane,2016-2017,1992,24,Liverpool,Senegal,27000000,36000000,FW,27,2240,13,1020,5,57,24,23,0.358974359
Sadio Mané,2015-2016,1992,23,Southampton,Senegal,19800000,27000000,FW,28,2386,1,1044,3,27,6,58,0.371428571
Sadio Mané,2017-2018,1992,25,Liverpool,Senegal,36000000,63000000,FW,28,2386,1,1044,3,27,6,58,0.371428571
Sadio Mané,2018-2019,1992,26,Liverpool,Senegal,63000000,108000000,FW,28,2386,1,1044,3,27,6,58,0.371428571
Salomón Rondón,2015-2016,1989,25,West Bromwich Albion,Senegal,15300000,15300000,FW,37,2604,11,964,6,86,34,54,0.381578947
Shinji Okazaki,2015-2016,1986,29,Leicester City,Japan,7000000,9000000,FW,36,2070,5,542,0,46,12,37,0.286486486
Shinji Okazaki,2016-2017,1986,30,Leicester City,Japan,9000000,6300000,FW,36,2070,5,542,0,46,12,37,0.286486486
Shinji Okazaki,2017-2018,1986,31,Leicester City,Japan,6300000,5400000,FW,36,2070,5,542,0,46,12,37,0.286486486
Shinji Okazaki,2018-2019,1986,32,Leicester City,Japan,5400000,3600000,FW,36,2070,5,542,0,46,12,37,0.286486486
Son Heung-Min,2015-2016,1992,23,Tottenham,South Korea,17600000,22500000,FW,28,1105,4,447,1,38,13,27,0.32
Son Heung-Min,2016-2017,1992,24,Tottenham,South Korea,22500000,27000000,FW,28,1105,4,447,1,38,13,27,0.32
